dataset,condition,hemi,subject_row,measure,value,dataset_pair
MICs,T1w,L,2,identifiability,,
MICs,T1w,L,3,identifiability,0.021846471370680697,
MICs,T1w,L,4,identifiability,0.012699109168095132,
MICs,T1w,L,5,identifiability,0.050524310424345735,
MICs,T1w,L,6,identifiability,,
MICs,T1w,L,7,identifiability,,
MICs,T1w,L,8,identifiability,0.04148356706585684,
MICs,T1w,L,9,identifiability,,
MICs,T1w,L,10,identifiability,,
MICs,T1w,L,11,identifiability,,
MICs,T1w,L,12,identifiability,,
MICs,T1w,L,13,identifiability,,
MICs,T1w,L,14,identifiability,0.043930348059476626,
MICs,T1w,L,15,identifiability,0.023052786560720663,
MICs,T1w,L,16,identifiability,,
MICs,T1w,L,17,identifiability,,
MICs,T1w,L,18,identifiability,,
MICs,T1w,L,19,identifiability,,
MICs,T1w,L,20,identifiability,,
MICs,T1w,L,21,identifiability,,
MICs,T1w,L,22,identifiability,,
MICs,T1w,L,23,identifiability,,
MICs,T1w,L,24,identifiability,,
MICs,T1w,L,25,identifiability,,
MICs,T1w,R,0,identifiability,0.047303745064004754,
MICs,T1w,R,1,identifiability,0.02894090013417654,
MICs,T1w,R,2,identifiability,,
MICs,T1w,R,3,identifiability,0.021492078763343466,
MICs,T1w,R,4,identifiability,0.01324670992228996,
MICs,T1w,R,5,identifiability,0.03806227380989233,
MICs,T1w,R,6,identifiability,,
MICs,T1w,R,7,identifiability,,
MICs,T1w,R,8,identifiability,,
MICs,T1w,R,9,identifiability,,
MICs,T1w,R,10,identifiability,,
MICs,T1w,R,11,identifiability,,
MICs,T1w,R,12,identifiability,,
MICs,T1w,R,13,identifiability,,
MICs,T1w,R,14,identifiability,,
MICs,T1w,R,15,identifiability,,
MICs,T1w,R,16,identifiability,,
MICs,T1w,R,17,identifiability,,
MICs,T1w,R,18,identifiability,,
MICs,T1w,R,19,identifiability,,
MICs,T1w,R,20,identifiability,,
MICs,T1w,R,21,identifiability,,
MICs,T1w,R,22,identifiability,,
MICs,T1w,R,23,identifiability,,
MICs,T1w,R,24,identifiability,,
MICs,T1w,R,25,identifiability,,
MICs,synthseg_v0.2,L,0,identifiability,0.03273472785360254,
MICs,synthseg_v0.2,L,1,identifiability,0.030187655813559023,
MICs,synthseg_v0.2,L,2,identifiability,0.023562591334532555,
MICs,synthseg_v0.2,L,3,identifiability,0.021666284560347908,
MICs,synthseg_v0.2,L,4,identifiability,0.012489308641391668,
MICs,synthseg_v0.2,L,5,identifiability,0.04687802488837088,
MICs,synthseg_v0.2,L,6,identifiability,,
MICs,synthseg_v0.2,L,7,identifiability,,
MICs,synthseg_v0.2,L,8,identifiability,0.037311143518621484,
MICs,synthseg_v0.2,L,9,identifiability,,
MICs,synthseg_v0.2,L,10,identifiability,,
MICs,synthseg_v0.2,L,11,identifiability,,
MICs,synthseg_v0.2,L,12,identifiability,,
MICs,synthseg_v0.2,L,13,identifiability,,
MICs,synthseg_v0.2,L,14,identifiability,0.03253321667538366,
MICs,synthseg_v0.2,L,15,identifiability,0.02215334437519116,
MICs,synthseg_v0.2,L,16,identifiability,,
MICs,synthseg_v0.2,L,17,identifiability,,
MICs,synthseg_v0.2,L,18,identifiability,,
MICs,synthseg_v0.2,L,19,identifiability,,
MICs,synthseg_v0.2,L,20,identifiability,,
MICs,synthseg_v0.2,L,21,identifiability,,
MICs,synthseg_v0.2,L,22,identifiability,0.004650373313227085,
MICs,synthseg_v0.2,L,23,identifiability,,
MICs,synthseg_v0.2,L,24,identifiability,,
MICs,synthseg_v0.2,L,25,identifiability,,
MICs,synthseg_v0.2,R,0,identifiability,0.038303776709467066,
MICs,synthseg_v0.2,R,1,identifiability,0.023497203678489086,
MICs,synthseg_v0.2,R,2,identifiability,0.02671825581509673,
MICs,synthseg_v0.2,R,3,identifiability,0.019221195560581345,
